,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
accuracy,0.9433230757713318,0.8602707982063293,0.8174862861633301,0.8462274074554443,0.9884733557701111,0.9582221508026123,0.8494991660118103,0.8272008895874023,0.9173000454902649,0.9556550979614258,0.965671718120575,0.8585594296455383,0.9253535866737366,0.9542457461357117,0.9649670124053955,0.9961745738983154,0.9671817421913147,0.9784063696861267,0.9235415458679199,0.8797503113746643,0.9400513172149658,0.9609402418136597,0.9388936161994934,0.9628026485443115,0.7626214027404785,0.9674837589263916,0.7721850275993347,0.9481049180030823,0.9501183032989502,0.9678360819816589,0.9324507713317871,0.8488951325416565,0.8629888892173767,0.9169477224349976,0.9906880855560303,0.9274173378944397,0.8962097764015198,0.966930091381073,0.8813610672950745
equality_gap_0,0.0613245964050293,0.1852930784225464,0.22901618480682373,0.12091392278671265,0.005959749221801758,0.02036106586456299,0.04931455850601196,0.12502628564834595,0.015193343162536621,0.03519320487976074,0.0009536147117614746,0.04869687557220459,0.04351198673248291,0.02328360080718994,0.01612645387649536,0.0025631189346313477,0.03603088855743408,0.021317899227142334,0.21344369649887085,0.040478289127349854,0.022824764251708984,0.029242098331451416,0.00010973215103149414,0.6211970448493958,0.10048949718475342,0.007841289043426514,0.09419763088226318,0.020336031913757324,0.03957939147949219,0.043012261390686035,0.020270586013793945,0.063015878200531,0.13767021894454956,0.06820875406265259,0.003095090389251709,0.3889161944389343,0.05783957242965698,0.036920905113220215,0.25999778509140015
equality_gap_1,0.680324375629425,0.4936702251434326,0.2358989119529724,0.22441405057907104,0.42397457361221313,0.06765294075012207,0.19202955067157745,0.27541232109069824,0.018165171146392822,0.5307302474975586,0.08327624201774597,0.09201890230178833,0.3199683129787445,0.2878042459487915,0.299222469329834,0.01363438367843628,0.7267759442329407,0.20614802837371826,0.906613290309906,0.13633185625076294,0.03176385164260864,0.44366899132728577,0.12976542115211487,0.05461090803146362,0.3361663818359375,0.1875247061252594,0.1634618639945984,0.23476606607437134,0.5427208542823792,0.755669355392456,0.04071098566055298,0.08388054370880127,0.2211558222770691,0.6177669167518616,0.038914620876312256,0.8624122142791748,0.34979090094566345,0.7241857051849365,0.05421257019042969
parity_gap,0.23279735445976257,0.40856480598449707,0.43076255917549133,0.235619455575943,0.03266241028904915,0.13110026717185974,0.045163433998823166,0.2731548845767975,0.11631590127944946,0.2341517060995102,0.0020116008818149567,0.12709778547286987,0.19134223461151123,0.07321789860725403,0.05994541943073273,0.1114482432603836,0.15559233725070953,0.07943767309188843,0.6835790276527405,0.25502920150756836,0.10234278440475464,0.07838732749223709,0.0074550434947013855,0.39371830224990845,0.19263160228729248,0.02778869867324829,0.17361322045326233,0.0614669993519783,0.10190648585557938,0.1581934243440628,0.14365005493164062,0.11389227211475372,0.3402642607688904,0.27939167618751526,0.05342534929513931,0.825928807258606,0.12158899009227753,0.1541735678911209,0.23830169439315796
