,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
accuracy,0.9395480155944824,0.8498011827468872,0.8096843957901001,0.8356067538261414,0.990033745765686,0.9547994136810303,0.8068656325340271,0.8199023604393005,0.9060754179954529,0.9524840116500854,0.9635072946548462,0.8507071733474731,0.921528160572052,0.954145073890686,0.9642120003700256,0.9957718849182129,0.9670810699462891,0.9779533743858337,0.9177027344703674,0.8766295909881592,0.9368299245834351,0.9616952538490295,0.9222831726074219,0.9607892632484436,0.7464639544487,0.9655206799507141,0.7590979933738708,0.9421653747558594,0.9498162865638733,0.9670307636260986,0.9254039525985718,0.8443650007247925,0.8403382301330566,0.9143806099891663,0.9895303845405579,0.9246488809585571,0.890622615814209,0.9662253856658936,0.8747168779373169
equality_gap_0,0.08575499057769775,0.206276535987854,0.22964853048324585,0.10406368970870972,0.006456434726715088,0.01812589168548584,0.13430392742156982,0.17578881978988647,0.05437248945236206,0.041633427143096924,0.005256712436676025,0.05406218767166138,0.06035351753234863,0.03981071710586548,0.028749465942382812,0.003199279308319092,0.040892183780670166,0.01973503828048706,0.20751619338989258,0.04844009876251221,0.026311635971069336,0.03358101844787598,0.02427583932876587,0.5631693601608276,0.07425916194915771,0.007337689399719238,0.036911070346832275,0.04264014959335327,0.020236074924468994,0.054858267307281494,0.030452311038970947,0.05812042951583862,0.18784278631210327,0.09622246026992798,0.002184927463531494,0.423974871635437,0.0765654444694519,0.04387319087982178,0.23384487628936768
equality_gap_1,0.7140418291091919,0.3937947452068329,0.21478134393692017,0.1458941400051117,0.3652758300304413,0.09660083055496216,0.12034255266189575,0.27919188141822815,0.09305042028427124,0.4285676181316376,0.05209583044052124,0.11336570978164673,0.33422791957855225,0.3584463596343994,0.3289582133293152,0.008035540580749512,0.748633861541748,0.1492411494255066,0.6670829057693481,0.13746649026870728,0.031455159187316895,0.4925224184989929,0.011771738529205322,0.079470694065094,0.19856777787208557,0.14313974976539612,0.004925966262817383,0.24484416842460632,0.3913654685020447,0.8054133057594299,0.04680675268173218,0.08396503329277039,0.21017932891845703,0.5302227735519409,0.0007852911949157715,0.649552583694458,0.33728763461112976,0.7505197525024414,0.05324512720108032
parity_gap,0.2597275972366333,0.413319855928421,0.4166930615901947,0.2013167142868042,0.03706754744052887,0.12652656435966492,0.1313771903514862,0.3194842040538788,0.1673506200313568,0.23889876902103424,0.007729563862085342,0.13106514513492584,0.21236932277679443,0.10122039914131165,0.08035463094711304,0.11182942986488342,0.16339559853076935,0.07558300346136093,0.6693715453147888,0.2587001323699951,0.10346612334251404,0.08799464255571365,0.043906137347221375,0.4184938669204712,0.14042514562606812,0.0257399994879961,0.08696002513170242,0.09189408272504807,0.0671970471739769,0.17616458237171173,0.1499750316143036,0.10233861207962036,0.3702194094657898,0.31241723895072937,0.05147874727845192,0.8359452486038208,0.14149977266788483,0.16440261900424957,0.22913306951522827
