,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
accuracy,0.9256556034088135,0.8129057884216309,0.7999194860458374,0.8289122581481934,0.9833391904830933,0.9554034471511841,0.8555896878242493,0.8141138553619385,0.9079881310462952,0.9450344443321228,0.963658332824707,0.8485428094863892,0.9046157002449036,0.9464438557624817,0.9602859020233154,0.9935067892074585,0.955856442451477,0.9733729362487793,0.843509316444397,0.8691297173500061,0.9376856088638306,0.951326310634613,0.932299792766571,0.9495645761489868,0.7510947585105896,0.9610409140586853,0.7305582165718079,0.9422157406806946,0.9350681900978088,0.9580711722373962,0.926964282989502,0.8428046703338623,0.8618814945220947,0.8847838044166565,0.9897317290306091,0.879397988319397,0.8813107013702393,0.9601852297782898,0.8714451193809509
equality_gap_0,0.05429273843765259,0.0685529112815857,0.1060720682144165,0.07932031154632568,0.0024832487106323242,0.01111447811126709,0.022673428058624268,0.11859345436096191,0.03441387414932251,0.01846402883529663,0.0012938380241394043,0.06346070766448975,0.016934871673583984,0.015535533428192139,0.014899611473083496,0.003788292407989502,0.03788959980010986,0.025385022163391113,0.08363109827041626,0.04635828733444214,0.011490285396575928,0.021730363368988037,0.004535079002380371,0.475879043340683,0.012404859066009521,0.002679288387298584,0.03232532739639282,0.026360630989074707,0.0003693699836730957,0.035732388496398926,0.0013112425804138184,0.007622182369232178,0.08077758550643921,0.018762052059173584,0.0044171810150146484,0.2247769832611084,0.0061149001121521,0.02249044179916382,0.3208363652229309
equality_gap_1,0.5121638774871826,0.21079614758491516,0.14690178632736206,0.14914968609809875,0.24752475321292877,0.13790130615234375,0.10977090895175934,0.2675611972808838,0.005944728851318359,0.4888159930706024,0.10585641860961914,0.21389195322990417,0.28893500566482544,0.17972683906555176,0.2734430134296417,0.03165477514266968,0.5819672346115112,0.25262871384620667,0.6070495843887329,0.07026416063308716,0.03720438480377197,0.1974077820777893,0.17856936156749725,0.06276017427444458,0.15090519189834595,0.06200394779443741,0.11872829496860504,0.3558947443962097,0.038755014538764954,0.5771762728691101,0.032037198543548584,0.13080650568008423,0.24079525470733643,0.28330162167549133,0.007715940475463867,0.49541234970092773,0.04175921902060509,0.5634095668792725,0.059671223163604736
parity_gap,0.1811302900314331,0.20023256540298462,0.3250729739665985,0.15473797917366028,0.014187751337885857,0.12033037841320038,0.02276713028550148,0.24755746126174927,0.14039579033851624,0.20063036680221558,0.001826941967010498,0.1527373194694519,0.12045164406299591,0.04346431419253349,0.04861351475119591,0.10777489095926285,0.1320643126964569,0.07974132150411606,0.47985541820526123,0.17583835124969482,0.09834647178649902,0.04256325215101242,0.009255282580852509,0.37247133255004883,0.07493800669908524,0.009319325909018517,0.019762642681598663,0.06887415796518326,0.01193245593458414,0.123227559030056,0.1282009780406952,0.003975719213485718,0.2810262441635132,0.17273692786693573,0.05236945301294327,0.677334725856781,0.013147515244781971,0.11474549025297165,0.24753117561340332
