,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
accuracy,0.9387426376342773,0.849146842956543,0.8125031590461731,0.8363114595413208,0.9886243343353271,0.9583228230476379,0.8444656729698181,0.8231237530708313,0.9125182628631592,0.9554034471511841,0.962550938129425,0.8543313145637512,0.9237931966781616,0.9535410404205322,0.9631549715995789,0.995016872882843,0.9650173783302307,0.9751346111297607,0.9179040789604187,0.8472844362258911,0.8511602282524109,0.9559571146965027,0.9362258911132812,0.9606382250785828,0.7599536776542664,0.9631549715995789,0.7595509886741638,0.9478532075881958,0.9434237480163574,0.9622992873191833,0.9051190614700317,0.8468314409255981,0.8604721426963806,0.9182060360908508,0.990033745765686,0.9242965579032898,0.8914783000946045,0.9670307636260986,0.8825690746307373
equality_gap_0,0.03971210494637489,0.09609890729188919,0.18404722213745117,0.08837510645389557,0.007342043332755566,0.03519890829920769,0.06715814024209976,0.0919938012957573,0.06345221400260925,0.043031543493270874,0.015352972783148289,0.07580935955047607,0.035392530262470245,0.02369050495326519,0.02197437919676304,0.0037533564027398825,0.02743571624159813,0.017401201650500298,0.0859249010682106,0.20041312277317047,0.7583137154579163,0.02073371410369873,0.03930177167057991,0.2882639765739441,0.0904812291264534,0.007813404314219952,0.09081202000379562,0.029666829854249954,0.01913061924278736,0.024155493825674057,0.183449849486351,0.07211505621671677,0.10802578926086426,0.0537571981549263,0.010858704335987568,0.11935772001743317,0.03626471385359764,0.025275956839323044,0.31840524077415466
equality_gap_1,0.4317362904548645,0.3031143844127655,0.14885349571704865,0.3618814945220947,0.3009345233440399,0.3292914628982544,0.35389435291290283,0.32967647910118103,0.2999889552593231,0.3251781761646271,0.31927821040153503,0.32509201765060425,0.4294538199901581,0.4000738561153412,0.4203419089317322,0.47853222489356995,0.5276421904563904,0.4459153413772583,0.12647296488285065,0.17748430371284485,0.9514711499214172,0.3212563693523407,0.4115905165672302,0.028576338663697243,0.28876984119415283,0.20610812306404114,0.28472861647605896,0.4511334300041199,0.3145143389701843,0.4647842049598694,0.12850269675254822,0.37783125042915344,0.24448353052139282,0.34943920373916626,0.5139511227607727,0.05822932720184326,0.3353813886642456,0.4858134686946869,0.04913555830717087
parity_gap,0.08839713037014008,0.12649068236351013,0.14833861589431763,0.11359037458896637,0.02762654796242714,0.1023462563753128,0.08575368672609329,0.11827151477336884,0.11245109140872955,0.10961157083511353,0.03807283192873001,0.11286177486181259,0.09011086076498032,0.0527627058327198,0.05334136635065079,0.07085835933685303,0.07574956864118576,0.05443599075078964,0.14396332204341888,0.3793954849243164,0.7097858190536499,0.04239550232887268,0.07940405607223511,0.11159124970436096,0.11874179542064667,0.022419167682528496,0.10995790362358093,0.06484104692935944,0.04683534801006317,0.06252477318048477,0.45821741223335266,0.10489190369844437,0.13057124614715576,0.11937566846609116,0.057470403611660004,0.1457482874393463,0.0635066106915474,0.06951817125082016,0.11812242865562439
