,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
accuracy,0.8896662592887878,0.7395681142807007,0.7256757616996765,0.8131071329116821,0.9793124198913574,0.8955554366111755,0.8501031994819641,0.7808929085731506,0.9015452861785889,0.8563950061798096,0.9568631052970886,0.8141641616821289,0.8799013495445251,0.9397493004798889,0.9541953802108765,0.9718125462532043,0.9289776682853699,0.961292564868927,0.6664820909500122,0.8513615727424622,0.9281723499298096,0.9495142698287964,0.9249005913734436,0.8169829249382019,0.7303065061569214,0.9569134712219238,0.7153067588806152,0.9301353693008423,0.9316454529762268,0.9350178837776184,0.9061257243156433,0.8220667243003845,0.741480827331543,0.8157749176025391,0.9793627262115479,0.6762973666191101,0.879397988319397,0.9296823740005493,0.8426536321640015
equality_gap_0,0.0021259188652038574,0.009550929069519043,0.12739086151123047,0.04120194911956787,0.0,0.008817195892333984,0.0045951008796691895,0.01335155963897705,0.0038750171661376953,0.02740687131881714,0.009313106536865234,0.029703497886657715,0.026411890983581543,5.2928924560546875e-05,0.0005639195442199707,0.0030651092529296875,0.002135336399078369,0.010415434837341309,0.07392030954360962,0.13100504875183105,0.02409917116165161,0.0,0.0,0.26668086647987366,0.00047451257705688477,0.0,0.0009835362434387207,0.003986656665802002,0.0,0.001993417739868164,0.017440438270568848,0.023162126541137695,0.19725102186203003,0.009015023708343506,0.003628551959991455,0.10913491249084473,0.0,0.0007127523422241211,0.15277349948883057
equality_gap_1,0.07084933668375015,0.034138474613428116,0.18775546550750732,0.0684630423784256,0.0,0.22921743988990784,0.11453436315059662,0.08964529633522034,0.08373510837554932,0.2467556893825531,0.08739037811756134,0.23385877907276154,0.24837106466293335,0.029411764815449715,0.06591141223907471,0.23997187614440918,0.051912568509578705,0.09419655799865723,0.050446346402168274,0.03266000747680664,0.02435547113418579,0.0,0.0,0.11226469278335571,0.06759412586688995,0.0,0.00820283405482769,0.04664989188313484,0.0,0.06949524581432343,0.005515635013580322,0.1627390831708908,0.43960049748420715,0.044258806854486465,0.1770104169845581,0.13765859603881836,0.0,0.03534303605556488,0.0032799839973449707
parity_gap,0.021163394674658775,0.00604857224971056,0.028937727212905884,0.08249194175004959,0.0,0.007796544581651688,0.012310734950006008,0.05589348077774048,0.09227760136127472,0.00017146393656730652,0.015621448867022991,0.037232451140880585,0.0900902971625328,0.0036427746526896954,0.009409618563950062,0.06319784373044968,0.010675488039851189,0.03404675051569939,0.09062736481428146,0.07972905039787292,0.07195296883583069,0.0,0.0,0.03179740905761719,0.023314211517572403,0.0,0.0021281626541167498,0.010769397020339966,0.0,0.012860719114542007,0.09567391872406006,0.03332102671265602,0.13700011372566223,0.008020469918847084,0.026374949142336845,0.193965882062912,0.0,0.006620950531214476,0.13100594282150269
