,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
accuracy,0.9130719304084778,0.7893995046615601,0.797654390335083,0.8213620781898499,0.9837418794631958,0.9480545520782471,0.8542306423187256,0.8074696660041809,0.9100518226623535,0.9248502254486084,0.9616952538490295,0.835707426071167,0.8928373456001282,0.945537805557251,0.9592288732528687,0.9931041598320007,0.9542960524559021,0.9695475101470947,0.8355060815811157,0.8596164584159851,0.9244979023933411,0.9523833394050598,0.9252026081085205,0.9194644093513489,0.7415814995765686,0.9570141434669495,0.7147027850151062,0.9348165392875671,0.932299792766571,0.9586248397827148,0.909649133682251,0.8394322395324707,0.8657069206237793,0.8843308091163635,0.9880706667900085,0.8639955520629883,0.8797000050544739,0.9601852297782898,0.8617305159568787
equality_gap_0,0.10677319765090942,0.0878063440322876,0.21715110540390015,0.15734833478927612,0.013781964778900146,0.009424686431884766,0.003783702850341797,0.20273274183273315,0.02668076753616333,0.013440907001495361,0.0061911940574646,0.05802774429321289,0.034134745597839355,0.036878764629364014,0.027882158756256104,0.0024689435958862305,0.047911882400512695,0.030239522457122803,0.06540220975875854,0.023167669773101807,0.0013283491134643555,0.02642524242401123,5.507469177246094e-05,0.6945787072181702,0.039066314697265625,0.00012099742889404297,0.003226339817047119,0.029997408390045166,0.0002976059913635254,0.03949451446533203,0.0027222037315368652,0.07121694087982178,0.13432246446609497,0.02732264995574951,0.0062912702560424805,0.14088749885559082,0.00010919570922851562,0.058402836322784424,0.3994635343551636
equality_gap_1,0.5620998740196228,0.3195345997810364,0.3077561855316162,0.3388103246688843,0.3472418785095215,0.19822990894317627,0.1419697403907776,0.3724339008331299,0.004769265651702881,0.4732692837715149,0.04333233833312988,0.16502586007118225,0.2952077388763428,0.3315412104129791,0.39467328786849976,0.039181292057037354,0.6174863576889038,0.41780051589012146,0.6109532713890076,0.10447794198989868,0.054438114166259766,0.25324028730392456,1.4550983905792236e-05,0.10814005136489868,0.1430586874485016,0.0045385779812932014,0.003217491554096341,0.3565205931663513,0.012048192322254181,0.6225311160087585,0.035817503929138184,0.12528079748153687,0.395835280418396,0.4634610116481781,0.10401391983032227,0.5835551619529724,0.003109728917479515,0.7435897588729858,0.083767831325531
parity_gap,0.23217777907848358,0.18543703854084015,0.44166460633277893,0.25525861978530884,0.03644581139087677,0.1168106347322464,0.004546716809272766,0.33540135622024536,0.12713803350925446,0.15434147417545319,0.011561129242181778,0.13310346007347107,0.12785950303077698,0.0796736627817154,0.06953226029872894,0.10823144018650055,0.14637848734855652,0.08661896735429764,0.4352051317691803,0.1937371790409088,0.09861448407173157,0.05332229658961296,0.00018348696175962687,0.4067090153694153,0.08020876348018646,0.00014471905888058245,0.0009867839980870485,0.06762441992759705,0.0016653519123792648,0.13349945843219757,0.12280735373497009,0.11838266998529434,0.348508358001709,0.16796407103538513,0.05766529589891434,0.602718710899353,0.0007012007990851998,0.1751963347196579,0.2751556634902954
