,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
accuracy,0.9055216908454895,0.8136608600616455,0.780188262462616,0.8271505236625671,0.9823325276374817,0.9480042457580566,0.8560929894447327,0.8036945462226868,0.9025519490242004,0.9213268160820007,0.9629033207893372,0.8459757566452026,0.8960084319114685,0.9448331594467163,0.9547490477561951,0.9861579537391663,0.9325011372566223,0.9718628525733948,0.7999697923660278,0.8628882169723511,0.9377862811088562,0.951175332069397,0.9364272356033325,0.9035083055496216,0.7458096146583557,0.9637086391448975,0.7552222013473511,0.9370312690734863,0.9402526617050171,0.9363768696784973,0.9221825003623962,0.8337444067001343,0.8360598087310791,0.8782906532287598,0.9837921857833862,0.7928726077079773,0.8794986605644226,0.9315447807312012,0.8560426831245422
equality_gap_0,0.030170977115631104,0.06109267473220825,0.050658583641052246,0.045114994049072266,0.002569913864135742,0.000245511531829834,0.0047386884689331055,0.05213814973831177,0.008589506149291992,0.007673323154449463,0.00669020414352417,0.013797521591186523,0.01493901014328003,0.009274423122406006,0.004774153232574463,0.002226710319519043,0.009025275707244873,0.009572327136993408,0.033841848373413086,0.05575472116470337,0.019959330558776855,0.0059539079666137695,0.0058367252349853516,0.5461804866790771,0.02555304765701294,0.0028917789459228516,0.03694939613342285,0.007760882377624512,0.007706105709075928,0.01084071397781372,0.01928001642227173,0.004488587379455566,0.002722620964050293,0.024411559104919434,0.0005486011505126953,0.05878418684005737,0.0021727681159973145,0.003122687339782715,0.09433692693710327
equality_gap_1,0.3512590825557709,0.15729612112045288,0.042605698108673096,0.054295510053634644,0.02333804965019226,0.01997298002243042,0.1681557446718216,0.0616515576839447,0.14646130800247192,0.17005819082260132,0.041064321994781494,0.028192877769470215,0.0866532027721405,0.02116568386554718,0.00820702314376831,0.07699805498123169,0.1844262331724167,0.16857963800430298,0.17710039019584656,0.05545508861541748,0.00431215763092041,0.08374875038862228,0.033503592014312744,0.007148385047912598,0.1426602602005005,0.02872881293296814,0.06544965505599976,0.011000126600265503,0.15547189116477966,0.21580103039741516,0.0031443238258361816,0.09747126698493958,0.006443440914154053,0.33648014068603516,0.060392916202545166,0.3928692936897278,0.010661927983164787,0.4116424024105072,0.009423255920410156
parity_gap,0.1164235919713974,0.20237591862678528,0.24307578802108765,0.10915245860815048,0.014738213270902634,0.0927562415599823,0.0013308674097061157,0.1566946804523468,0.06599535048007965,0.151278555393219,0.008522028103470802,0.07556216418743134,0.07653772830963135,0.03149261325597763,0.022843431681394577,0.09604182094335556,0.038596607744693756,0.04612535238265991,0.38101550936698914,0.16094645857810974,0.06660106778144836,0.015137694776058197,0.02103743702173233,0.2514408230781555,0.07638083398342133,0.012249594554305077,0.08986474573612213,0.02587963081896305,0.03213484212756157,0.04296104609966278,0.102863609790802,0.008194506168365479,0.16760948300361633,0.16856655478477478,0.03946394473314285,0.46415457129478455,0.0038260233122855425,0.06270469725131989,0.13669168949127197
