,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
accuracy,0.9099511504173279,0.7904061675071716,0.7818492650985718,0.8284088969230652,0.9808728098869324,0.9386419653892517,0.8560929894447327,0.8011777997016907,0.9061257243156433,0.9213771224021912,0.9642623662948608,0.8441636562347412,0.8969647884368896,0.9462425112724304,0.9569637775421143,0.9799164533615112,0.9440780878067017,0.9695475101470947,0.7794835567474365,0.863643229007721,0.9382896423339844,0.9537423849105835,0.9353702068328857,0.9078370928764343,0.7449539303779602,0.9611415863037109,0.7505913972854614,0.9356218576431274,0.938843309879303,0.944631814956665,0.9244475960731506,0.8233250975608826,0.8323349952697754,0.8531232476234436,0.9757386445999146,0.7630744576454163,0.8803040385246277,0.9423667192459106,0.8488448262214661
equality_gap_0,0.03185516595840454,0.043439507484436035,0.04857480525970459,0.017317116260528564,0.0016130805015563965,0.0077765583992004395,0.003813028335571289,0.057050466537475586,0.0042514801025390625,0.000858008861541748,0.00019752979278564453,0.023430228233337402,0.008993446826934814,0.008595705032348633,0.0036060214042663574,0.003031909465789795,0.0366368293762207,0.0038814544677734375,0.02283954620361328,0.094784677028656,0.016321122646331787,0.03132200241088867,0.0064612627029418945,0.5896597504615784,0.02940136194229126,0.003591299057006836,0.04642611742019653,0.0015546083450317383,0.018816113471984863,0.019734561443328857,0.04174834489822388,0.038706064224243164,0.047157227993011475,0.005644857883453369,0.012800216674804688,0.02989107370376587,0.0021727681159973145,0.009586632251739502,0.01765960454940796
equality_gap_1,0.36961162090301514,0.14409661293029785,0.019095540046691895,0.10841843485832214,0.035360679030418396,0.0017435550689697266,0.2494601309299469,0.03742557764053345,0.07890564203262329,0.20943355560302734,0.10527125000953674,0.030204176902770996,0.06632378697395325,0.031121879816055298,0.040652260184288025,0.1800411343574524,0.5990437269210815,0.2701682150363922,0.42644739151000977,0.010524213314056396,0.001052260398864746,0.3379860520362854,0.06836038827896118,0.032070040702819824,0.1757555454969406,0.007292747497558594,0.09063278138637543,0.09393605589866638,0.21872490644454956,0.5325530171394348,0.012205719947814941,0.06691959500312805,0.08134543895721436,0.21135562658309937,0.140347421169281,0.27241450548171997,0.01776988059282303,0.29452529549598694,0.015141963958740234
parity_gap,0.1235988512635231,0.16641387343406677,0.2320757508277893,0.06763642281293869,0.009890730492770672,0.09743034094572067,0.016327932476997375,0.14878714084625244,0.09393863379955292,0.14813712239265442,0.0009935405105352402,0.08530311286449432,0.07372185587882996,0.0328502282500267,0.021705906838178635,0.07792377471923828,0.13146568834781647,0.029823647812008858,0.3594754934310913,0.1227315366268158,0.06702148914337158,0.06755290925502777,0.016183454543352127,0.2670896649360657,0.09273722767829895,0.010779770091176033,0.10242905467748642,0.008071735501289368,0.049314260482788086,0.09981246292591095,0.08464804291725159,0.07596895098686218,0.21082866191864014,0.09163602441549301,0.021860245615243912,0.4156390428543091,0.005228424910455942,0.057646043598651886,0.10220015048980713
