,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
accuracy,0.9114108681678772,0.825741171836853,0.7966477274894714,0.827754557132721,0.9852519035339355,0.9386922717094421,0.8550359606742859,0.8120501041412354,0.9067800641059875,0.9289273619651794,0.9645140171051025,0.8440629839897156,0.9083404541015625,0.9464438557624817,0.959581196308136,0.9882720112800598,0.9403030276298523,0.9701514840126038,0.8672170042991638,0.8729048371315002,0.932601809501648,0.9501686096191406,0.9333568215370178,0.9091458320617676,0.7414305210113525,0.966930091381073,0.7596516609191895,0.9359238743782043,0.943373441696167,0.9532390236854553,0.9271153211593628,0.8317310214042664,0.8366134762763977,0.8831731081008911,0.9825338125228882,0.859264075756073,0.8792470097541809,0.9474002122879028,0.8533245921134949
equality_gap_0,0.029184579849243164,0.1328907608985901,0.2597734332084656,0.06259024143218994,0.0069234371185302734,0.015150606632232666,0.01988053321838379,0.09813189506530762,0.030479013919830322,0.06239306926727295,0.0025110840797424316,0.03381997346878052,0.016620397567749023,0.02306300401687622,0.013404369354248047,0.003833770751953125,0.018730342388153076,0.008645713329315186,0.1802670955657959,0.025255918502807617,0.002703726291656494,0.002816915512084961,0.0024825334548950195,0.556155800819397,0.03511577844619751,0.007523059844970703,0.1026463508605957,0.025679171085357666,0.02647179365158081,0.020871520042419434,0.003913998603820801,0.0033501386642456055,0.07641524076461792,0.03688091039657593,0.004665672779083252,0.24829095602035522,0.013277292251586914,0.014959275722503662,0.25159481167793274
equality_gap_1,0.3265044689178467,0.23698049783706665,0.1644551157951355,0.07923510670661926,0.3101131319999695,0.06926584243774414,0.20607003569602966,0.22279323637485504,0.049459636211395264,0.36761948466300964,0.09382697939872742,0.02434515953063965,0.14643308520317078,0.188218891620636,0.18658210337162018,0.0319254994392395,0.27937158942222595,0.027078896760940552,0.4258733093738556,0.08640193939208984,0.003765702247619629,0.033898305147886276,0.16380742192268372,0.04492312669754028,0.18534168601036072,0.15691062808036804,0.18877342343330383,0.11618039011955261,0.3687750995159149,0.42867591977119446,0.0432819128036499,0.15981760621070862,0.12180566787719727,0.26464730501174927,0.016403913497924805,0.3824337124824524,0.049078568816185,0.3832293748855591,0.02065056562423706
parity_gap,0.11152265965938568,0.31055372953414917,0.39933523535728455,0.1290292888879776,0.02811664529144764,0.06316734850406647,0.014100857079029083,0.21902713179588318,0.130926251411438,0.24163375794887543,0.0023007988929748535,0.09325063228607178,0.13046807050704956,0.05648612603545189,0.04377831146121025,0.10671104490756989,0.06384488195180893,0.040129754692316055,0.5939255952835083,0.1953076720237732,0.07730159163475037,0.006502719130367041,0.002718087285757065,0.25724881887435913,0.10282784700393677,0.028459079563617706,0.1756318062543869,0.05035928636789322,0.06986315548419952,0.08678174763917923,0.13464084267616272,0.004003316164016724,0.25696632266044617,0.1999407261610031,0.040037039667367935,0.6647365093231201,0.021496668457984924,0.07732541114091873,0.17756575345993042
