,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
accuracy,0.9179543852806091,0.8056576251983643,0.7830069661140442,0.8275029063224792,0.9816278219223022,0.9505712985992432,0.8527709245681763,0.8159258961677551,0.9088941216468811,0.9373835921287537,0.9636079668998718,0.8447173833847046,0.9136759638786316,0.9508229494094849,0.960688591003418,0.9776010513305664,0.9518799781799316,0.9730205535888672,0.8561936616897583,0.8719484210014343,0.9374842643737793,0.9556550979614258,0.9311420917510986,0.9384909868240356,0.7554235458374023,0.9612422585487366,0.7447525858879089,0.9425177574157715,0.9395983219146729,0.9532390236854553,0.9293803572654724,0.8420495986938477,0.8445663452148438,0.8710424304008484,0.9803191423416138,0.8590124249458313,0.8851361274719238,0.9566618204116821,0.8675693273544312
equality_gap_0,0.09006088972091675,0.06908416748046875,0.11923593282699585,0.18540877103805542,0.0013895034790039062,0.014072835445404053,0.03617340326309204,0.1154596209526062,0.016562342643737793,0.026669204235076904,0.001126706600189209,0.01374286413192749,0.0077522993087768555,0.016482234001159668,0.014508426189422607,0.0020366907119750977,0.04062432050704956,0.020498573780059814,0.19667375087738037,0.001332104206085205,0.0077332258224487305,0.013909220695495605,0.009094536304473877,0.8106340765953064,0.1002543568611145,0.004175543785095215,0.044911324977874756,0.01609814167022705,0.010773539543151855,0.05145847797393799,0.022402048110961914,0.052380144596099854,0.06476330757141113,0.027449369430541992,0.00820779800415039,0.3283790349960327,0.01713240146636963,0.02376377582550049,0.1796923577785492
equality_gap_1,0.5906956791877747,0.34652501344680786,0.13650941848754883,0.3133275508880615,0.06753888726234436,0.1339389681816101,0.07969091832637787,0.18344509601593018,0.0017146468162536621,0.43037617206573486,0.154722660779953,0.004938036203384399,0.1175679862499237,0.027197957038879395,0.09166142344474792,0.29332900047302246,0.5642076730728149,0.04002612829208374,0.4089812934398651,0.11917662620544434,0.004097938537597656,0.2283150553703308,0.11706241965293884,0.05178290605545044,0.32001793384552,0.10676133632659912,0.12849748134613037,0.23420286178588867,0.16997991502285004,0.593269944190979,0.06285136938095093,0.09622588753700256,0.0955081582069397,0.35574573278427124,0.02076435089111328,0.2846907377243042,0.12127943336963654,0.5412335395812988,0.006489574909210205
parity_gap,0.226875901222229,0.19206978380680084,0.31553831696510315,0.2906678020954132,0.008514816872775555,0.1184735894203186,0.04165645316243172,0.24806071817874908,0.1254555732011795,0.1984044313430786,0.004464868456125259,0.06564445048570633,0.13216254115104675,0.05419108644127846,0.05161648988723755,0.06666316092014313,0.13093306124210358,0.06839954107999802,0.5590460896492004,0.22250020503997803,0.07282492518424988,0.03931393846869469,0.01692606508731842,0.3600130081176758,0.18191105127334595,0.003922833129763603,0.09543532133102417,0.05556988716125488,0.03303999453783035,0.13895641267299652,0.15389183163642883,0.10019022226333618,0.23423603177070618,0.14902731776237488,0.03317143768072128,0.6863893866539001,0.03765896335244179,0.11174900829792023,0.17060834169387817
