,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
accuracy,0.8971158266067505,0.8143151998519897,0.7825036644935608,0.821664035320282,0.9834398627281189,0.9456384778022766,0.851311206817627,0.8029395341873169,0.9097498059272766,0.8921326994895935,0.9576684832572937,0.834801435470581,0.8935420513153076,0.9474505186080933,0.9604368805885315,0.9895303845405579,0.9536920189857483,0.9724668860435486,0.8750188946723938,0.8650022745132446,0.9335581660270691,0.9521819949150085,0.9261589646339417,0.937282919883728,0.7501887679100037,0.9587255120277405,0.7374037504196167,0.9346151947975159,0.9373835921287537,0.9550007581710815,0.9229878783226013,0.8417476415634155,0.8264458775520325,0.8844314813613892,0.9837418794631958,0.8680726885795593,0.879548966884613,0.9391453266143799,0.8466300964355469
equality_gap_0,0.006202399730682373,0.133242666721344,0.1042402982711792,0.041817665100097656,0.006266236305236816,0.012349724769592285,0.026193559169769287,0.045557498931884766,0.007759153842926025,0.04793405532836914,0.025219082832336426,0.08700710535049438,0.0242651104927063,0.011685192584991455,0.006234288215637207,0.01186913251876831,0.047778189182281494,0.01416635513305664,0.16261804103851318,0.0676414966583252,0.0008006691932678223,0.014265120029449463,0.0008397102355957031,0.7162353992462158,0.09413367509841919,0.003119230270385742,0.08575564622879028,0.000693202018737793,0.010415613651275635,0.05336034297943115,0.017695069313049316,0.005980014801025391,0.005611598491668701,0.07672989368438721,0.0009257793426513672,0.22128897905349731,0.0007643699645996094,0.004583775997161865,0.09150585532188416
equality_gap_1,0.14596670866012573,0.44596782326698303,0.11851030588150024,0.06175026297569275,0.05834510922431946,0.0640762448310852,0.04581192880868912,0.052975624799728394,0.06722104549407959,0.14424893260002136,0.2162170708179474,0.3559802174568176,0.3669212758541107,0.13033242523670197,0.1457335203886032,0.04663205146789551,0.6031420826911926,0.022499263286590576,0.379373699426651,0.1804460883140564,0.029439866542816162,0.16051843762397766,0.0025827959179878235,0.0376090407371521,0.31069397926330566,0.06702355295419693,0.2393832802772522,0.04011198878288269,0.16490964591503143,0.6239941716194153,0.04326122999191284,0.054899513721466064,0.07143950462341309,0.5448926687240601,0.030611097812652588,0.518180787563324,0.004442470148205757,0.18780319392681122,0.013188481330871582
parity_gap,0.044870808720588684,0.2818661034107208,0.2997305393218994,0.09525536000728607,0.022205080837011337,0.07481422275304794,0.03937271982431412,0.1370326578617096,0.0960903912782669,0.06157374382019043,0.03912346065044403,0.1946641504764557,0.11845351755619049,0.04056776687502861,0.03680483251810074,0.11402693390846252,0.14386096596717834,0.05469483137130737,0.5818784236907959,0.27999186515808105,0.0885162353515625,0.03159832954406738,0.0026095127686858177,0.31852132081985474,0.17261412739753723,0.0017818943597376347,0.14467154443264008,0.005714344792068005,0.028398633003234863,0.14557325839996338,0.1409429907798767,0.02701517939567566,0.1480117291212082,0.23590302467346191,0.0393189862370491,0.6637328267097473,0.0014900517417117953,0.03579758480191231,0.11657261848449707
