,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
accuracy,0.8912769556045532,0.773644745349884,0.7765138149261475,0.8221170902252197,0.9819801449775696,0.9402023553848267,0.8540796041488647,0.8108924031257629,0.8843308091163635,0.9004378914833069,0.9614436030387878,0.8296672701835632,0.8779886364936829,0.943977415561676,0.9568127989768982,0.9385412931442261,0.9339104890823364,0.9657723903656006,0.8298686146736145,0.8593647480010986,0.888458251953125,0.9498665928840637,0.9252529144287109,0.90250164270401,0.7297528386116028,0.956762433052063,0.7358936667442322,0.9271153211593628,0.9347158670425415,0.9385412931442261,0.9078370928764343,0.8275029063224792,0.8310263156890869,0.8627875447273254,0.9851009249687195,0.808426022529602,0.879397988319397,0.9603362083435059,0.8465797305107117
equality_gap_0,0.009648382663726807,0.0641832947731018,0.023591995239257812,0.10733973979949951,0.0018624067306518555,0.006545960903167725,0.00581592321395874,0.10613900423049927,0.021170496940612793,0.008884012699127197,0.00025141239166259766,0.07325059175491333,0.02195155620574951,0.015222609043121338,0.011917054653167725,0.0010183453559875488,0.012153267860412598,0.00824052095413208,0.0989193320274353,0.015459835529327393,0.15262311697006226,0.0006706714630126953,0.0003134012222290039,0.42306414246559143,0.016668498516082764,0.0003630518913269043,0.13850712776184082,0.02145284414291382,0.0035710930824279785,0.005781948566436768,0.0026166439056396484,0.0024715065956115723,0.027927637100219727,0.027720391750335693,0.0027486085891723633,0.09809684753417969,0.0,0.0296517014503479,0.1710280478000641
equality_gap_1,0.10413999110460281,0.23359760642051697,0.03597992658615112,0.20960548520088196,0.022984430193901062,0.164209246635437,0.17275863885879517,0.2521883547306061,0.22583019733428955,0.109832763671875,0.1314711570739746,0.21501019597053528,0.2354678064584732,0.08433481305837631,0.1874459981918335,0.31112194061279297,0.16120219230651855,0.012168079614639282,0.6257786154747009,0.09386718273162842,0.05353635549545288,0.011964107863605022,0.013837959617376328,0.02974987030029297,0.051619384437799454,0.0,0.3150712549686432,0.11827068030834198,0.07304216921329498,0.13679590821266174,0.03621852397918701,0.0781228244304657,0.06181693077087402,0.3390156626701355,0.010379433631896973,0.36392730474472046,0.0,0.6126126050949097,0.006893455982208252
parity_gap,0.03582407161593437,0.14008870720863342,0.22379019856452942,0.1853189319372177,0.009607313200831413,0.10254630446434021,0.01914551481604576,0.23307642340660095,0.023504838347434998,0.10811135917901993,0.0036907047033309937,0.15229353308677673,0.07978370785713196,0.03605451434850693,0.035695724189281464,0.0013580899685621262,0.0379522331058979,0.03891493380069733,0.4773509204387665,0.2161022126674652,0.038736969232559204,0.0020099314860999584,0.0008336396422237158,0.22676974534988403,0.033532194793224335,0.0003546937950886786,0.2068643569946289,0.035363662987947464,0.011657463386654854,0.026956727728247643,0.1231020987033844,0.008052676916122437,0.1991230547428131,0.1309145838022232,0.04541812837123871,0.5160149931907654,0.0,0.128914937376976,0.13668322563171387
