,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
accuracy,0.896411120891571,0.7779735326766968,0.7810942530632019,0.8162782192230225,0.9795640707015991,0.9341118335723877,0.8442140221595764,0.797654390335083,0.8955051302909851,0.8899682760238647,0.9628026485443115,0.843509316444397,0.8948004245758057,0.9417626857757568,0.955051064491272,0.9730205535888672,0.9330044984817505,0.9684401154518127,0.7673025727272034,0.8505561947822571,0.9207731485366821,0.9500176310539246,0.9278199672698975,0.8711934089660645,0.7433935403823853,0.9630039930343628,0.7221522927284241,0.9317461252212524,0.926058292388916,0.9384909868240356,0.9197161197662354,0.8396838903427124,0.8033422231674194,0.8264458775520325,0.9863592982292175,0.7519504427909851,0.8796496391296387,0.9308904409408569,0.8502038717269897
equality_gap_0,0.011271893978118896,0.11993491649627686,0.11505824327468872,0.046955227851867676,0.0002630949020385742,0.03307044506072998,0.048220932483673096,0.038617074489593506,0.02562391757965088,0.061233699321746826,4.756450653076172e-05,0.006830155849456787,0.02184617519378662,0.0017333626747131348,0.0022687315940856934,0.0004532337188720703,0.004108607769012451,0.017526984214782715,0.03218793869018555,0.10051047801971436,0.08784860372543335,0.003947138786315918,0.020180046558380127,0.09745520353317261,0.10933709144592285,0.01013094186782837,0.017763912677764893,0.0017036795616149902,0.017175734043121338,0.010020554065704346,0.03250908851623535,0.014336228370666504,0.044875502586364746,0.053907155990600586,0.002827167510986328,0.06865334510803223,0.002183854579925537,0.0011740922927856445,0.2332611083984375
equality_gap_1,0.15322236716747284,0.21155411005020142,0.07311838865280151,0.1071237176656723,0.019801979884505272,0.09547948837280273,0.03493840992450714,0.059915781021118164,0.23872625827789307,0.18049663305282593,0.1311037540435791,0.08688867092132568,0.26596999168395996,0.007203593850135803,0.04050499200820923,0.2782976031303406,0.1666666716337204,0.08608871698379517,0.6039208769798279,0.016576707363128662,0.0331079363822937,0.050847455859184265,0.11539636552333832,0.005546689033508301,0.34875887632369995,0.25421467423439026,0.06542012095451355,0.0880218893289566,0.12284137308597565,0.17702999711036682,0.0015208125114440918,0.010436445474624634,0.05618947744369507,0.16385945677757263,0.027074337005615234,0.33464545011520386,0.011106175370514393,0.0665280669927597,0.014187395572662354
parity_gap,0.05054590851068497,0.23570629954338074,0.2830830514431,0.09926247596740723,0.0006828997866250575,0.05134736746549606,0.05995580926537514,0.12142156064510345,0.024012655019760132,0.08535005152225494,0.0026528723537921906,0.04967288672924042,0.10885871946811676,0.010647072456777096,0.012328797951340675,0.061257027089595795,0.03147215023636818,0.056217391043901443,0.3944621682167053,0.11716911196708679,0.010416150093078613,0.0094361063092947,0.03519076853990555,0.1338059902191162,0.1958770453929901,0.02831483818590641,0.013303622603416443,0.001779012382030487,0.0023270491510629654,0.03678629547357559,0.09311375021934509,0.043021924793720245,0.2233898639678955,0.07783383131027222,0.05067352205514908,0.4397486448287964,0.003944254480302334,0.012159518897533417,0.17264795303344727
