,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
accuracy,0.8904212713241577,0.7763627767562866,0.7701716423034668,0.8196003437042236,0.9793124198913574,0.9200181365013123,0.8471837639808655,0.7885438203811646,0.8785926103591919,0.8939950466156006,0.959581196308136,0.8219660520553589,0.8747168779373169,0.9391956329345703,0.9518799781799316,0.9763929843902588,0.9298837184906006,0.9599838852882385,0.7944329977035522,0.8494991660118103,0.8845824599266052,0.9492625594139099,0.9249005913734436,0.887199878692627,0.7409271597862244,0.9569134712219238,0.7153571248054504,0.9281723499298096,0.9316454529762268,0.9388936161994934,0.8906729817390442,0.8199023604393005,0.8246338367462158,0.8538782596588135,0.9788090586662292,0.8119997978210449,0.879397988319397,0.9317461252212524,0.8335933685302734
equality_gap_0,0.018064379692077637,0.08409291505813599,0.10023349523544312,0.0723007321357727,0.0,0.01870262622833252,0.014607727527618408,0.06111800670623779,0.04284793138504028,0.001120150089263916,0.0018630027770996094,0.02365434169769287,9.334087371826172e-05,0.0001811981201171875,0.001183927059173584,0.001122593879699707,0.004400074481964111,0.006202340126037598,0.06286799907684326,0.04432070255279541,0.01603686809539795,0.0010731220245361328,0.0,0.41313618421554565,0.04552197456359863,0.0,0.006346940994262695,9.196996688842773e-05,0.0,0.003102540969848633,0.001747429370880127,0.011355280876159668,0.0030803680419921875,0.013712286949157715,0.0012342333793640137,0.09075909852981567,0.0,0.007577359676361084,0.23531585931777954
equality_gap_1,0.1195049062371254,0.25341081619262695,0.12284606695175171,0.13609158992767334,0.0,0.23534110188484192,0.04561520367860794,0.11856445670127869,0.27310025691986084,0.25538170337677,0.012523859739303589,0.1408464014530182,0.07401064038276672,0.01043643243610859,0.032710280269384384,0.19078409671783447,0.07172130793333054,0.0956977903842926,0.31613999605178833,0.08229398727416992,0.12552374601364136,0.0029910269659012556,0.0,0.010183572769165039,0.21991531550884247,0.0,0.011576754041016102,0.005576208233833313,0.0,0.12801755964756012,0.058756113052368164,0.1145978569984436,0.041242122650146484,0.2572217881679535,0.13290059566497803,0.384585976600647,0.0,0.10048510134220123,0.009548008441925049
parity_gap,0.046140775084495544,0.15906035900115967,0.29156798124313354,0.1393211930990219,0.0,0.0250193253159523,0.02221617102622986,0.1437978446483612,0.002458140254020691,0.0879412293434143,0.0037699081003665924,0.0057971179485321045,0.049668435007333755,0.00144935620483011,0.0043745567090809345,0.07051374018192291,0.01602238230407238,0.026532921940088272,0.37005969882011414,0.17018967866897583,0.13224512338638306,0.0013005438959226012,0.0,0.1748276948928833,0.10429881513118744,0.0,0.008326759561896324,0.0003506003995425999,0.0,0.023291558027267456,0.1304825246334076,0.01625984162092209,0.1398802250623703,0.09753409773111343,0.030692199245095253,0.4977565407752991,0.0,0.023383302614092827,0.15087604522705078
