,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
accuracy,0.9021996259689331,0.781446635723114,0.7811949253082275,0.8169326186180115,0.979866087436676,0.9414103627204895,0.849750816822052,0.7997684478759766,0.9016459584236145,0.9266623258590698,0.9617959260940552,0.8381738662719727,0.8894146084785461,0.9416117072105408,0.9566618204116821,0.9761916399002075,0.9468968510627747,0.9637086391448975,0.8369154930114746,0.8425026535987854,0.9149846434593201,0.9492625594139099,0.9247495532035828,0.9260079264640808,0.7425378561019897,0.9568631052970886,0.7321186065673828,0.9276689887046814,0.9367292523384094,0.9509739875793457,0.8930386900901794,0.8344994187355042,0.8523682355880737,0.8618814945220947,0.98439621925354,0.8359591364860535,0.879397988319397,0.9559571146965027,0.8515125513076782
equality_gap_0,0.05306375026702881,0.12438762187957764,0.19837701320648193,0.12813133001327515,0.000372469425201416,0.006091654300689697,0.012062370777130127,0.20331591367721558,0.006561696529388428,0.01902395486831665,0.0012260675430297852,0.03300899267196655,0.05205279588699341,0.013147175312042236,0.011957406997680664,0.002384006977081299,0.02563941478729248,0.007752954959869385,0.15495026111602783,0.13841891288757324,0.04498136043548584,0.006706893444061279,0.000630497932434082,0.6203914284706116,0.0385967493057251,0.0010234713554382324,0.10014158487319946,0.007537901401519775,0.008431732654571533,0.020963072776794434,0.13554179668426514,0.027422785758972168,0.080189049243927,0.013315856456756592,0.00411069393157959,0.2358320951461792,0.0,0.03574866056442261,0.23309260606765747
equality_gap_1,0.33760136365890503,0.3395736515522003,0.24048125743865967,0.14263120293617249,0.03465346619486809,0.0646321177482605,0.0911659449338913,0.31290462613105774,0.0887572169303894,0.502049446105957,0.13988089561462402,0.1888798177242279,0.3164038062095642,0.13993722200393677,0.2112620770931244,0.27026206254959106,0.40846994519233704,0.025710701942443848,0.22850826382637024,0.025234699249267578,0.00816810131072998,0.044865403324365616,0.008425003848969936,0.035073697566986084,0.14860430359840393,0.008487528190016747,0.24213458597660065,0.006414830684661865,0.14006024599075317,0.4045354723930359,0.04465097188949585,0.0501856803894043,0.24507024884223938,0.23693743348121643,0.004245102405548096,0.3986605405807495,0.0,0.5841996073722839,0.02993077039718628
parity_gap,0.13086587190628052,0.21551114320755005,0.39317968487739563,0.20041929185390472,0.0020099314860999584,0.07810831815004349,0.007145659998059273,0.32464325428009033,0.09225906431674957,0.17924568057060242,0.004552757367491722,0.11423724889755249,0.16129125654697418,0.02961897663772106,0.036584507673978806,0.06827746331691742,0.09181271493434906,0.03230193257331848,0.49844926595687866,0.07549801468849182,0.051096111536026,0.01123197004199028,0.0009559643222019076,0.3068373203277588,0.08172120898962021,0.0016347707714885473,0.15402771532535553,0.008934766054153442,0.023753177374601364,0.08285772055387497,0.012341320514678955,0.06967715919017792,0.2642718553543091,0.11270960420370102,0.04925065115094185,0.6016532182693481,0.0,0.12909433245658875,0.18968194723129272
