,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
accuracy,0.915437638759613,0.8029395341873169,0.7973523736000061,0.817939281463623,0.9821311831474304,0.9530880451202393,0.8557406663894653,0.8141138553619385,0.9059747457504272,0.942115068435669,0.9623495936393738,0.8474354147911072,0.8941963911056519,0.94382643699646,0.9577188491821289,0.9913927316665649,0.9546483755111694,0.9707052111625671,0.903407633304596,0.8655559420585632,0.9285246729850769,0.9518799781799316,0.9251522421836853,0.950067937374115,0.739316463470459,0.9569134712219238,0.7256757616996765,0.931494414806366,0.9434237480163574,0.9534403681755066,0.9175516963005066,0.8356571197509766,0.8589621186256409,0.8896662592887878,0.988120973110199,0.9116122126579285,0.878944993019104,0.9598329067230225,0.8621332049369812
equality_gap_0,0.054129183292388916,0.34937727451324463,0.3581753969192505,0.1477755904197693,0.003849029541015625,0.0120772123336792,0.016783535480499268,0.17281490564346313,0.021932899951934814,0.054404377937316895,0.0036908388137817383,0.06378233432769775,0.03341329097747803,0.01508420705795288,0.007669925689697266,0.0027468204498291016,0.0423772931098938,0.02233254909515381,0.3753514289855957,0.025579512119293213,0.03764313459396362,0.017169713973999023,9.304285049438477e-05,0.5472704172134399,0.057288527488708496,0.0,0.2516230344772339,0.010565757751464844,0.024104773998260498,0.03638416528701782,0.020089924335479736,0.015045762062072754,0.13941437005996704,0.10768938064575195,0.0036079883575439453,0.5092653036117554,0.014959573745727539,0.018246591091156006,0.3846814036369324
equality_gap_1,0.4250960350036621,0.7403723001480103,0.29424434900283813,0.3590199649333954,0.2153465300798416,0.1319451928138733,0.16591252386569977,0.4076880216598511,0.023787856101989746,0.5116658210754395,0.22726675868034363,0.21934521198272705,0.32546624541282654,0.1897416114807129,0.2049301117658615,0.004472613334655762,0.5881147384643555,0.3178080916404724,0.8252102732658386,0.15031713247299194,0.06994318962097168,0.17447656393051147,0.0008948836475610733,0.053484320640563965,0.20113886892795563,0.0,0.46162983775138855,0.10434581339359283,0.35918673872947693,0.5120702385902405,0.05811357498168945,0.1309056580066681,0.25387024879455566,0.6615050435066223,0.11847919225692749,0.5259118676185608,0.05686361715197563,0.5356895327568054,0.05504751205444336
parity_gap,0.15689288079738617,0.5142349004745483,0.49905815720558167,0.24099889397621155,0.013951288536190987,0.11990223079919815,0.010495878756046295,0.3187463879585266,0.11661374568939209,0.2440682202577591,0.01065359078347683,0.15442700684070587,0.13069899380207062,0.03819279000163078,0.029890114441514015,0.10442564636468887,0.13682414591312408,0.07254944741725922,0.7535746097564697,0.24466022849082947,0.12583854794502258,0.03582407161593437,4.093395546078682e-06,0.36235642433166504,0.11345946788787842,0.0,0.3312256336212158,0.023511886596679688,0.06310807168483734,0.11326554417610168,0.14727160334587097,0.01202423870563507,0.33945155143737793,0.28626111149787903,0.053380321711301804,0.8519808650016785,0.023227276280522346,0.10652636736631393,0.24527734518051147
