,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
accuracy,0.9342125058174133,0.8364121317863464,0.8085266947746277,0.8360598087310791,0.9877183437347412,0.9547994136810303,0.8518648743629456,0.8259425163269043,0.9102028608322144,0.9414607286453247,0.9649167060852051,0.8524689078330994,0.9207227826118469,0.9508229494094849,0.9630542993545532,0.9937081336975098,0.9645140171051025,0.9758896827697754,0.9092465043067932,0.8705894351005554,0.939296305179596,0.9556550979614258,0.9354205131530762,0.9582725167274475,0.7582926154136658,0.9646146893501282,0.7578396201133728,0.9455881714820862,0.9490109086036682,0.9622992873191833,0.9269139766693115,0.8430059552192688,0.8540292978286743,0.9102028608322144,0.9894800186157227,0.9201188087463379,0.8826697468757629,0.9615945816040039,0.8737101554870605
equality_gap_0,0.08429497480392456,0.1446148157119751,0.20957350730895996,0.13274234533309937,0.008939683437347412,0.017374396324157715,0.05274897813796997,0.18168020248413086,0.038717806339263916,0.03626972436904907,0.0001360177993774414,0.045979976654052734,0.07196134328842163,0.03341329097747803,0.021871447563171387,0.0017902851104736328,0.04723858833312988,0.024735569953918457,0.1788824200630188,0.09060072898864746,0.024524986743927002,0.046009361743927,0.002046644687652588,0.6382570266723633,0.04704087972640991,0.0045583248138427734,0.08327412605285645,0.02058863639831543,0.024501562118530273,0.04503995180130005,0.05779922008514404,0.04826468229293823,0.18894731998443604,0.07796603441238403,0.003274261951446533,0.3823609948158264,0.013212502002716064,0.05219602584838867,0.2870490849018097
equality_gap_1,0.6636790633201599,0.5152833461761475,0.22915226221084595,0.2741967737674713,0.15558698773384094,0.14738017320632935,0.08407562971115112,0.37871742248535156,0.0023195743560791016,0.5951539278030396,0.1372273564338684,0.07300114631652832,0.48519593477249146,0.33717525005340576,0.4091828465461731,0.0351635217666626,0.7452185750007629,0.1894129514694214,0.7430609464645386,0.22038304805755615,0.04521656036376953,0.46360915899276733,0.09271872043609619,0.08061718940734863,0.22602303326129913,0.1478024572134018,0.2458617389202118,0.29978638887405396,0.4457831382751465,0.6869056224822998,0.07922095060348511,0.13686251640319824,0.2604488730430603,0.7025038003921509,0.05188065767288208,0.6249716877937317,0.08262994140386581,0.7283437252044678,0.045200347900390625
parity_gap,0.24476929008960724,0.3291788399219513,0.412461519241333,0.23838070034980774,0.036152277141809464,0.12724462151527405,0.059190329164266586,0.3418002724647522,0.14242741465568542,0.2159084528684616,0.0023896824568510056,0.11526980996131897,0.23125094175338745,0.08414814621210098,0.0678546279668808,0.10553258657455444,0.16803720593452454,0.08035293966531754,0.6364456415176392,0.31027737259864807,0.10924789309501648,0.09553086012601852,0.0029533542692661285,0.415458619594574,0.1161874532699585,0.0180027075111866,0.16458716988563538,0.06441652029752731,0.07353843748569489,0.14876550436019897,0.17948371171951294,0.09972982853651047,0.3816295564174652,0.28207632899284363,0.05165380239486694,0.8088818192481995,0.02690858021378517,0.16750721633434296,0.2313482165336609
